f1_identifier,formula,f1-vdw_rad,efermi,formula2,f2_vdw_rad,efermi-2,f2_identifier,atoms,distance_d,Δn,prompt,completion
mp-850932,Mn3(OF2)2,2.05,5.67,TaS2,1.8,4.23,mp-1690,282.0,3.85,-2.1,"An interface between Mn3(OF2)2 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7419
mp-759856,W(OF)2,1.52,5.67,ReS2,1.8,4.23,mp-1232344,288.0,3.32,-2.96,"An interface between W(OF)2 (Fermi level: 5.67 meV) and ReS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0852
mp-756050,TaCuO3,1.52,5.67,PdSe2,1.9,4.23,mp-2418,300.0,3.42,-0.402,"An interface between TaCuO3 (Fermi level: 5.67 meV) and PdSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.9113
mp-997006,AgPtO2,1.72,5.67,NbS2,2.2,4.23,mp-10033,20.0,3.92,-0.0222,"An interface between AgPtO2 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.92 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-3.8077
mp-2076,ZrSe2,2.25,5.67,MnCr2O4,2.05,4.23,mp-28226,345.0,4.3,-1.26,"An interface between ZrSe2 (Fermi level: 5.67 meV) and MnCr2O4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.2311
mp-1018033,AgRhO2,1.72,5.67,NbTe2,2.2,4.23,mp-1018150,94.0,3.92,-1.35,"An interface between AgRhO2 (Fermi level: 5.67 meV) and NbTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.92 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.3001
mp-758716,FeOF,2.0,5.67,ZrTe2,2.25,4.23,mp-1018107,387.0,4.25,-2.42,"An interface between FeOF (Fermi level: 5.67 meV) and ZrTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.8838
mp-551690,Rb4CO4,3.03,5.67,NbSe2,2.2,4.23,mp-571133,204.0,5.23,-0.903,"An interface between Rb4CO4 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5.23 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.1020
mp-611224,VS2,2.05,5.67,NaCO2,2.27,4.23,mp-1078590,114.0,4.32,-1.07,"An interface between VS2 (Fermi level: 5.67 meV) and NaCO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0677
mp-1634,MoSe2,2.1,5.67,AlHO2,1.84,4.23,mp-625152,332.0,3.94,-0.401,"An interface between MoSe2 (Fermi level: 5.67 meV) and AlHO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.94 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.9138
mp-758223,Bi11PO20,1.8,5.67,TaS2,1.8,4.23,mp-755523,252.0,3.6,-2.66,"An interface between Bi11PO20 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.6 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.9783
mp-1023939,MoS2,2.1,5.67,Li4ZrO4,2.25,4.23,mp-770720,180.0,4.35,-0.222,"An interface between MoS2 (Fermi level: 5.67 meV) and Li4ZrO4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.35 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.5051
mp-7240,NaRuO2,2.27,5.67,MoS2,2.1,4.23,mp-1027525,400.0,4.37,-1.6,"An interface between NaRuO2 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.37 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.4700
mp-754231,LuTiO3,2.0,5.67,NbS2,2.2,4.23,mp-774873,348.0,4.2,-3,"An interface between LuTiO3 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0986
mp-1023926,Te2W,0,5.67,Er2(WO4)3,1.52,4.23,mp-773513,46.0,1.52,-1.31,"An interface between Te2W (Fermi level: 5.67 meV) and Er2(WO4)3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.2700
mp-971706,ZnBiO3,1.52,5.67,Ta3S2,1.8,4.23,mp-1826,470.0,3.32,-1.51,"An interface between ZnBiO3 (Fermi level: 5.67 meV) and Ta3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.4121
mp-551830,SrTiO3,2.49,5.67,MoSe2,2.1,4.23,mp-1018807,90.0,4.59,-0.528,"An interface between SrTiO3 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.59 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.6387
mp-27615,U(PO3)4,1.8,5.67,VS2,2.05,4.23,mp-1013526,138.0,3.85,-1.06,"An interface between U(PO3)4 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0583
mp-7926,TaSe2,1.9,5.67,ScInO3,2.11,4.23,mp-768358,22.0,4.01,-0.164,"An interface between TaSe2 (Fermi level: 5.67 meV) and ScInO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.01 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.8079
mp-780255,Gd3NbO7,2.2,5.67,TaS2,1.8,4.23,mp-1984,460.0,4,-1.4,"An interface between Gd3NbO7 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.3365
mp-1184153,DySnO3,1.52,5.67,PtSe2,1.9,4.23,mp-1115,365.0,3.42,-2.2,"An interface between DySnO3 (Fermi level: 5.67 meV) and PtSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7885
mp-1023925,WS2,1.8,5.67,Fe3(PO6)2,2.0,4.23,mp-1181366,244.0,3.8,-0.521,"An interface between WS2 (Fermi level: 5.67 meV) and Fe3(PO6)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.6520
mp-774557,Er2TeO6,1.52,5.67,VTe2,2.05,4.23,mp-1008626,441.0,3.57,-3.79,"An interface between Er2TeO6 (Fermi level: 5.67 meV) and VTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.3324
mp-611224,VS2,2.05,5.67,BaTiO3,2.0,4.23,mp-644497,306.0,4.05,-0.596,"An interface between VS2 (Fermi level: 5.67 meV) and BaTiO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.5175
mp-759856,W(OF)2,1.52,5.67,NbS2,2.2,4.23,mp-10033,402.0,3.72,-1.9,"An interface between W(OF)2 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.6419
mp-770720,Li4ZrO4,2.25,5.67,VSe2,2.05,4.23,mp-694,186.0,4.3,-7.53,"An interface between Li4ZrO4 (Fermi level: 5.67 meV) and VSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.0189
mp-1027692,MoSe2,2.1,5.67,Li3BiO3,1.82,4.23,mp-28510,456.0,3.92,1.09e+04,"An interface between MoSe2 (Fermi level: 5.67 meV) and Li3BiO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.92 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",9.2965
mp-754378,LiV3O4,2.05,5.67,VS2,2.05,4.23,mp-1013525,240.0,4.1,-2.35,"An interface between LiV3O4 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.8544
mp-1183540,CaZnO3,2.31,5.67,NbTe2,2.2,4.23,mp-1018150,404.0,4.51,-1.31,"An interface between CaZnO3 (Fermi level: 5.67 meV) and NbTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.51 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.2700
mp-22959,AgClO2,1.75,5.67,Te2Pd3,1.63,4.23,mp-613,98.0,3.38,-5.44,"An interface between AgClO2 (Fermi level: 5.67 meV) and Te2Pd3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.38 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.6938
mvc-7052,MoS2,2.1,5.67,Mg2P2O7,1.8,4.23,mp-5427,450.0,3.9,-0.0248,"An interface between MoS2 (Fermi level: 5.67 meV) and Mg2P2O7 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-3.6969
mp-28414,Nd2GeO5,2.11,5.67,Te2Mo,2.1,4.23,mp-1023938,236.0,4.21,-1,"An interface between Nd2GeO5 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.21 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0000
mp-694,VSe2,2.05,5.67,Mg(SbO2)2,1.73,4.23,mvc-9603,26.0,3.78,-2.42,"An interface between VSe2 (Fermi level: 5.67 meV) and Mg(SbO2)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.78 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.8838
mp-690541,Tl2SO3,1.8,5.67,MoSe2,2.1,4.23,mp-1634,354.0,3.9,-2.09,"An interface between Tl2SO3 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7372
mp-1023924,MoS2,2.1,5.67,TaCuO3,1.52,4.23,mp-756050,102.0,3.62,-5.41,"An interface between MoS2 (Fermi level: 5.67 meV) and TaCuO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.6882
mp-1227311,BaSrO2,2.49,5.67,MoS2,2.1,4.23,mvc-7052,270.0,4.59,-0.979,"An interface between BaSrO2 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.59 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.0212
mp-772744,Tm2P4O13,1.8,5.67,Te2W,0,4.23,mp-1019322,124.0,1.8,-4.93,"An interface between Tm2P4O13 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.5953
mp-9813,WS2,1.8,5.67,ZnBiO3,1.52,4.23,mp-971706,420.0,3.32,-0.298,"An interface between WS2 (Fermi level: 5.67 meV) and ZnBiO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.2107
mp-851115,Ti7(WO5)6,2.0,5.67,VS2,2.05,4.23,mp-9561,462.0,4.05,-1.03,"An interface between Ti7(WO5)6 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0296
mp-1013526,VS2,2.05,5.67,LaMnO3,2.05,4.23,mp-17554,425.0,4.1,-3.12,"An interface between VS2 (Fermi level: 5.67 meV) and LaMnO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.1378
mp-1019276,TaSe2,1.9,5.67,La2Pr2O7,1.52,4.23,mp-755355,492.0,3.42,-0.0428,"An interface between TaSe2 (Fermi level: 5.67 meV) and La2Pr2O7 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-3.1512
mp-1178763,VS2,2.05,5.67,Y(HO)3,2.3,4.23,mp-625718,462.0,4.35,-0.438,"An interface between VS2 (Fermi level: 5.67 meV) and Y(HO)3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.35 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.8255
mp-2648,NbS2,2.2,5.67,Ca2Mn3O8,2.31,4.23,mvc-8030,171.0,4.51,-2.42,"An interface between NbS2 (Fermi level: 5.67 meV) and Ca2Mn3O8 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.51 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.8838
mp-8724,K2TeO3,2.75,5.67,VS2,2.05,4.23,mvc-13742,192.0,4.8,-1.65,"An interface between K2TeO3 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.5008
mp-561598,BaPbO3,1.52,5.67,ReS2,1.8,4.23,mp-1232344,473.0,3.32,-1.79,"An interface between BaPbO3 (Fermi level: 5.67 meV) and ReS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.5822
mp-1025572,WSe2,1.9,5.67,Mg(SbO2)2,1.73,4.23,mvc-9603,50.0,3.63,-4.93,"An interface between WSe2 (Fermi level: 5.67 meV) and Mg(SbO2)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.63 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.5953
mp-1023934,MoSe2,2.1,5.67,LuTiO3,2.0,4.23,mp-754231,206.0,4.1,-7.08,"An interface between MoSe2 (Fermi level: 5.67 meV) and LuTiO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.9573
mp-26918,CrPO4,2.05,5.67,ReS2,1.8,4.23,mp-1232344,312.0,3.85,-3.12,"An interface between CrPO4 (Fermi level: 5.67 meV) and ReS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.1378
mp-762,PtS2,1.8,5.67,Gd2Sn2O7,1.52,4.23,mp-17064,34.0,3.32,-2.21,"An interface between PtS2 (Fermi level: 5.67 meV) and Gd2Sn2O7 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7930
mp-510453,Ag3RuO4,1.72,5.67,TaSe2,1.9,4.23,mp-11324,94.0,3.62,-2.18,"An interface between Ag3RuO4 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7793
mp-1072113,NbSe2,2.2,5.67,Cu(BiO2)2,1.52,4.23,mp-560165,166.0,3.72,-2.11,"An interface between NbSe2 (Fermi level: 5.67 meV) and Cu(BiO2)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7467
mp-997032,MgAuO2,1.73,5.67,NbS2,2.2,4.23,mp-1008860,455.0,3.93,-0.452,"An interface between MgAuO2 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.93 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.7941
mp-28510,Li3BiO3,1.82,5.67,WS2,1.8,4.23,mp-9813,269.0,3.62,-5.18,"An interface between Li3BiO3 (Fermi level: 5.67 meV) and WS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.6448
mp-5915,TlNO3,1.55,5.67,NbS2,2.2,4.23,mp-1008860,408.0,3.75,-3.89,"An interface between TlNO3 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.75 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.3584
mp-20352,Ba3In2O6,1.52,5.67,TiS2,2.0,4.23,mp-1008682,249.0,3.52,-6.28,"An interface between Ba3In2O6 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.8374
mp-7007,NbSe2,2.2,5.67,Mo2Cl4O,2.1,4.23,mp-690522,114.0,4.3,-2.98,"An interface between NbSe2 (Fermi level: 5.67 meV) and Mo2Cl4O (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0919
mp-754409,HoBO3,1.92,5.67,TaSe2,1.9,4.23,mp-500,262.0,3.82,-1.51,"An interface between HoBO3 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.82 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.4121
mp-29173,V2Se3O11,2.05,5.67,WS2,1.8,4.23,mp-1025571,372.0,3.85,1.36e+03,"An interface between V2Se3O11 (Fermi level: 5.67 meV) and WS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",7.2152
mp-555792,Na(OsO3)2,2.27,5.67,Zr3S2,2.25,4.23,mp-1215419,336.0,4.52,-3.96,"An interface between Na(OsO3)2 (Fermi level: 5.67 meV) and Zr3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.3762
mp-997032,MgAuO2,1.73,5.67,TiS2,2.0,4.23,mp-1072192,384.0,3.73,-3.82,"An interface between MgAuO2 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.73 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.3403
mp-7007,NbSe2,2.2,5.67,Rb4CO4,3.03,4.23,mp-547898,252.0,5.23,-1.46,"An interface between NbSe2 (Fermi level: 5.67 meV) and Rb4CO4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5.23 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.3784
mp-9631,AlAgO2,1.84,5.67,Te2Pd,1.63,4.23,mp-782,467.0,3.47,-1.01,"An interface between AlAgO2 (Fermi level: 5.67 meV) and Te2Pd (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.47 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0100
mp-973396,KBeO3,2.75,5.67,WS2,1.8,4.23,mp-224,444.0,4.55,-1.13,"An interface between KBeO3 (Fermi level: 5.67 meV) and WS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.55 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.1222
mp-756011,Fe5(O4F)2,2.0,5.67,TaSe2,1.9,4.23,mp-11324,228.0,3.9,-1.56,"An interface between Fe5(O4F)2 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.4447
mp-627442,Ge7H18O23,2.11,5.67,HfSe2,1.9,4.23,mp-985831,126.0,4.01,-4.09,"An interface between Ge7H18O23 (Fermi level: 5.67 meV) and HfSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.01 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.4085
mp-973396,KBeO3,2.75,5.67,WSe2,1.9,4.23,mp-1025572,444.0,4.65,1.47e+03,"An interface between KBeO3 (Fermi level: 5.67 meV) and WSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.65 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",7.2930
mp-555903,Al(IO3)3,1.84,5.67,PtSe2,1.9,4.23,mp-1115,440.0,3.74,1.09e+04,"An interface between Al(IO3)3 (Fermi level: 5.67 meV) and PtSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.74 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",9.2965
mp-557842,AlPO4,1.84,5.67,VS2,2.05,4.23,mp-557523,336.0,3.89,-8.16,"An interface between AlPO4 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.89 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.0992
mp-554500,Bi2WO6,1.52,5.67,VS2,2.05,4.23,mp-849080,474.0,3.57,-3.62,"An interface between Bi2WO6 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2865
mp-772744,Tm2P4O13,1.8,5.67,Zr3Se2,2.25,4.23,mp-1215426,58.0,4.05,-4.53,"An interface between Tm2P4O13 (Fermi level: 5.67 meV) and Zr3Se2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.5107
mp-8724,K2TeO3,2.75,5.67,MoS2,2.1,4.23,mp-558544,459.0,4.85,-4.42,"An interface between K2TeO3 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.4861
mp-762,PtS2,1.8,5.67,Tb3SbO7,1.52,4.23,mp-1191378,328.0,3.32,-0.503,"An interface between PtS2 (Fermi level: 5.67 meV) and Tb3SbO7 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.6872
mp-759721,V6O7F5,2.05,5.67,NbTe2,2.2,4.23,mp-1018150,393.0,4.25,-1.95,"An interface between V6O7F5 (Fermi level: 5.67 meV) and NbTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.6678
mp-5163,LaRhO3,1.52,5.67,NbTe2,2.2,4.23,mp-1018150,281.0,3.72,-1.02,"An interface between LaRhO3 (Fermi level: 5.67 meV) and NbTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0198
mp-625871,Sr(H2O3)2,2.49,5.67,Te2Pd,1.63,4.23,mp-782,324.0,4.12,-3.26,"An interface between Sr(H2O3)2 (Fermi level: 5.67 meV) and Te2Pd (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.12 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.1817
mp-7339,BaSiO3,2.1,5.67,TiTe2,2.0,4.23,mp-1907,425.0,4.1,-2.54,"An interface between BaSiO3 (Fermi level: 5.67 meV) and TiTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.9322
mp-20641,MnCoO3,2.05,5.67,VS2,2.05,4.23,mp-1178763,368.0,4.1,-2.19,"An interface between MnCoO3 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7839
mp-18601,DyMn2O5,2.05,5.67,MoS2,2.1,4.23,mp-1025874,240.0,4.15,8.57e+03,"An interface between DyMn2O5 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",9.0560
mp-772030,LiTiO2,2.0,5.67,Te2Mo,2.1,4.23,mp-602,216.0,4.1,-0.348,"An interface between LiTiO2 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.0556
