f1_identifier,formula,f1-vdw_rad,efermi,formula2,f2_vdw_rad,efermi-2,f2_identifier,atoms,distance_d,Δn,prompt,abs_Δn,log(|Δn|),completion
mp-1094112,NbOF3,2.2,5.67,VS2,2.05,4.23,mp-655446,144.0,4.25,-0.136,"An interface between NbOF3 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.136,-1.995100393246085,-1.995
mp-2648,NbS2,2.2,5.67,Nd2SeO2,1.9,4.23,mp-13971,445.0,4.1,-3.78,"An interface between NbS2 (Fermi level: 5.67 meV) and Nd2SeO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.78,1.3297240096314962,1.33
mp-680683,CsB9O14,1.92,5.67,TaSe2,1.9,4.23,mp-500,282.0,3.82,-6.45,"An interface between CsB9O14 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.82 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",6.45,1.864080130807681,1.864
mp-28433,RbClO4,3.03,5.67,TaS2,1.8,4.23,mp-1411,165.0,4.83,-0.946,"An interface between RbClO4 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.83 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.946,-0.0555127099302588,-0.05551
mp-778670,VOF2,2.05,5.67,WSe2,1.9,4.23,mp-1023933,384.0,3.95,-0.217,"An interface between VOF2 (Fermi level: 5.67 meV) and WSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.217,-1.5278579254416775,-1.528
mp-761530,Fe(CoO3)2,2.0,5.67,VSe2,2.05,4.23,mp-694,474.0,4.05,-1.74,"An interface between Fe(CoO3)2 (Fermi level: 5.67 meV) and VSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.74,0.5538851132264376,0.5539
mp-1025572,WSe2,1.9,5.67,LaBrO,1.85,4.23,mp-23023,366.0,3.75,-1.51,"An interface between WSe2 (Fermi level: 5.67 meV) and LaBrO (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.75 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.51,0.412109650826833,0.4121
mp-768358,ScInO3,2.11,5.67,HfSe2,1.9,4.23,mp-985831,280.0,4.01,-0.449,"An interface between ScInO3 (Fermi level: 5.67 meV) and HfSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.01 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.449,-0.8007323912398827,-0.8007
mp-773513,Er2(WO4)3,1.52,5.67,VS2,2.05,4.23,mvc-11241,394.0,3.57,-2.9,"An interface between Er2(WO4)3 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.9,1.0647107369924282,1.065
mp-2076,ZrSe2,2.25,5.67,Cu(BiO2)2,1.52,4.23,mp-560165,92.0,3.77,-2.68,"An interface between ZrSe2 (Fermi level: 5.67 meV) and Cu(BiO2)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.77 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.68,0.9858167945227654,0.9858
mp-1001080,H2CO3,1.7,5.67,MoS2,2.1,4.23,mp-1023924,159.0,3.8,-0.835,"An interface between H2CO3 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.835,-0.1803235541312816,-0.1803
mp-5625,Ag2SO4,1.8,5.67,TaS2,1.8,4.23,mp-16226,434.0,3.6,-3.42,"An interface between Ag2SO4 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.6 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.42,1.229640551074514,1.23
mp-642750,NaV2O4,2.27,5.67,Te2Mo,2.1,4.23,mp-602,470.0,4.37,-0.838,"An interface between NaV2O4 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.37 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.838,-0.176737178500054,-0.1767
mp-568347,NbSe2,2.2,5.67,La2MoO6,2.1,4.23,mp-25202,306.0,4.3,-2.77,"An interface between NbSe2 (Fermi level: 5.67 meV) and La2MoO6 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.77,1.0188473201992472,1.019
mp-759856,W(OF)2,1.52,5.67,HfSe2,1.9,4.23,mp-985831,81.0,3.42,-1.34,"An interface between W(OF)2 (Fermi level: 5.67 meV) and HfSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.34,0.29266961396282,0.2927
mp-985829,HfS2,1.8,5.67,LaGaO3,1.87,4.23,mp-1078871,134.0,3.67,-2.65,"An interface between HfS2 (Fermi level: 5.67 meV) and LaGaO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.67 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.65,0.9745596399981308,0.9746
mp-627344,V3(H3O5)2,2.05,5.67,Te2W,0.0,4.23,mp-1023942,272.0,2.05,-4.42,"An interface between V3(H3O5)2 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.42,1.4861396960896067,1.486
mp-7339,BaSiO3,2.1,5.67,TaSe2,1.9,4.23,mp-13870,348.0,4.0,-2.52,"An interface between BaSiO3 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.52,0.924258901523332,0.9243
mp-12944,HoAsO4,1.85,5.67,NbSe2,2.2,4.23,mp-1102559,468.0,4.05,-2.23,"An interface between HoAsO4 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.23,0.8020015854720274,0.802
mp-760755,KAl11O17,2.75,5.67,MoS2,2.1,4.23,mp-1023939,438.0,4.85,-5.56,"An interface between KAl11O17 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",5.56,1.715598108262491,1.716
mp-1102559,NbSe2,2.2,5.67,Mg2Mo3O8,2.1,4.23,mp-19139,346.0,4.3,-1.06,"An interface between NbSe2 (Fermi level: 5.67 meV) and Mg2Mo3O8 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.06,0.0582689081239758,0.05827
mp-11324,TaSe2,1.9,5.67,Sm2Si2O7,2.1,4.23,mp-17235,407.0,4.0,-3.24,"An interface between TaSe2 (Fermi level: 5.67 meV) and Sm2Si2O7 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.24,1.175573329804238,1.176
mp-17443,Cs2FeO4,2.0,5.67,MoSe2,2.1,4.23,mp-1018807,256.0,4.1,-4.18,"An interface between Cs2FeO4 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.18,1.430311246536665,1.43
mp-560358,Zr2P2O9,2.25,5.67,Te2Mo,2.1,4.23,mp-1025576,390.0,4.35,-2.23,"An interface between Zr2P2O9 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.35 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.23,0.8020015854720274,0.802
mp-1004038,CaMn2O4,2.31,5.67,Zr3S2,2.25,4.23,mp-1215419,497.0,4.56,-2.58,"An interface between CaMn2O4 (Fermi level: 5.67 meV) and Zr3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.56 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.58,0.947789398933526,0.9478
mp-761197,V4O5F7,2.05,5.67,Te2Mo,2.1,4.23,mp-1030319,472.0,4.15,-1.86,"An interface between V4O5F7 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.86,0.62057648772511,0.6206
mp-1023926,Te2W,0.0,5.67,FeHO2,2.0,4.23,mp-24992,444.0,2.0,-0.445,"An interface between Te2W (Fermi level: 5.67 meV) and FeHO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.445,-0.8096809968158968,-0.8097
mp-625718,Y(HO)3,2.3,5.67,Te2W,0.0,4.23,mp-1028586,38.0,2.3,-1.88,"An interface between Y(HO)3 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.88,0.6312717768418578,0.6313
mp-676273,Pr2SbO2,1.52,5.67,TaSe2,1.9,4.23,mp-8954,266.0,3.42,-5.2,"An interface between Pr2SbO2 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",5.2,1.6486586255873816,1.649
mp-753564,Sn3(OF)2,1.52,5.67,NbS2,2.2,4.23,mp-632475,278.0,3.72,-2.28,"An interface between Sn3(OF)2 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.28,0.8241754429663494,0.8242
mp-752480,Mn3(OF2)2,2.05,5.67,HfSe2,1.9,4.23,mp-985831,393.0,3.95,-0.527,"An interface between Mn3(OF2)2 (Fermi level: 5.67 meV) and HfSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.527,-0.6405547304407747,-0.6406
mp-27428,KBrO4,2.75,5.67,PdSe2,1.9,4.23,mp-2418,276.0,4.65,-4.37,"An interface between KBrO4 (Fermi level: 5.67 meV) and PdSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.65 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.37,1.4747630091074988,1.475
mp-558224,Dy2(TeO3)3,1.52,5.67,TaTe2,0.0,4.23,mp-601823,408.0,1.52,-4.65,"An interface between Dy2(TeO3)3 (Fermi level: 5.67 meV) and TaTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.65,1.536867219599265,1.537
mp-765742,Na3V5O10,2.27,5.67,NbSe2,2.2,4.23,mp-571133,360.0,4.47,-1.34,"An interface between Na3V5O10 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.47 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.34,0.29266961396282,0.2927
mp-760679,Cu3OF5,1.52,5.67,Te2Pd3,1.63,4.23,mp-613,432.0,3.15,-4.81,"An interface between Cu3OF5 (Fermi level: 5.67 meV) and Te2Pd3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.81,1.5706970841176695,1.571
mp-1178229,FeOF,2.0,5.67,TaS2,1.8,4.23,mp-555037,312.0,3.8,-1.67,"An interface between FeOF (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.67,0.5128236264286637,0.5128
mp-1078830,RbSeO3,3.03,5.67,Te2W,0.0,4.23,mp-1028586,426.0,3.03,-2.75,"An interface between RbSeO3 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.03 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.75,1.01160091167848,1.012
mp-1023925,WS2,1.8,5.67,TbPaO4,1.52,4.23,mp-1173104,156.0,3.32,-6.2,"An interface between WS2 (Fermi level: 5.67 meV) and TbPaO4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",6.2,1.824549292051046,1.825
mp-1018033,AgRhO2,1.72,5.67,NbS2,2.2,4.23,mp-632475,475.0,3.92,-1.34,"An interface between AgRhO2 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.92 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.34,0.29266961396282,0.2927
mp-611224,VS2,2.05,5.67,Pt2Rh2O5,1.52,4.23,mp-1186816,465.0,3.57,-2.08,"An interface between VS2 (Fermi level: 5.67 meV) and Pt2Rh2O5 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.08,0.7323678937132266,0.7324
mp-996958,AgHO2,1.72,5.67,ReSe2,1.9,4.23,mp-1102379,232.0,3.62,-3.89,"An interface between AgHO2 (Fermi level: 5.67 meV) and ReSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.89,1.358409157630355,1.358
mp-559796,Al2(MoO4)3,2.1,5.67,HfS2,1.8,4.23,mp-985829,347.0,3.9,-9.39,"An interface between Al2(MoO4)3 (Fermi level: 5.67 meV) and HfS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",9.39,2.239645293220172,2.24
mp-9986,CsAuO,1.52,5.67,Zr3Se2,2.25,4.23,mp-1215426,106.0,3.77,-3.24,"An interface between CsAuO (Fermi level: 5.67 meV) and Zr3Se2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.77 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.24,1.175573329804238,1.176
mp-31269,Na2S2O7,2.27,5.67,NbSe2,2.2,4.23,mp-571133,234.0,4.47,-2.89,"An interface between Na2S2O7 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.47 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.89,1.0612565021243408,1.061
mp-607310,TlFeO2,2.0,5.67,NbS2,2.2,4.23,mp-966,414.0,4.2,-1.91,"An interface between TlFeO2 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.91,0.6471032420585384,0.6471
mp-1104833,Cr(ClO2)2,2.05,5.67,NbS2,2.2,4.23,mp-1802,125.0,4.25,-3.42,"An interface between Cr(ClO2)2 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.42,1.229640551074514,1.23
mp-758672,Li15Mn2O12,2.05,5.67,MoSe2,2.1,4.23,mp-1027692,414.0,4.15,1710.0,"An interface between Li15Mn2O12 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1710.0,7.444248649496705,7.444
mp-690522,Mo2Cl4O,2.1,5.67,NbS2,2.2,4.23,mp-10033,143.0,4.3,-1.45,"An interface between Mo2Cl4O (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.45,0.371563556432483,0.3716
mp-772030,LiTiO2,2.0,5.67,Ti3S2,2.0,4.23,mp-1217073,448.0,4.0,-0.735,"An interface between LiTiO2 (Fermi level: 5.67 meV) and Ti3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.735,-0.3078847797693004,-0.3079
mp-1077403,SrCoO,2.49,5.67,VS2,2.05,4.23,mp-849060,246.0,4.54,-2.09,"An interface between SrCoO (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.54 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.09,0.7371640659767196,0.7372
mp-29283,CaMn7O12,2.31,5.67,TiS2,2.0,4.23,mp-1072192,326.0,4.31,-4.25,"An interface between CaMn7O12 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.31 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.25,1.4469189829363254,1.447
mp-541582,ReSe2,1.9,5.67,CdSiO3,2.1,4.23,mp-1016879,491.0,4.0,-1.81,"An interface between ReSe2 (Fermi level: 5.67 meV) and CdSiO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.81,0.5933268452777344,0.5933
mp-558582,In(PO3)3,1.8,5.67,TaSe2,1.9,4.23,mp-500,262.0,3.7,-3.11,"An interface between In(PO3)3 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.7 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.11,1.1346227261911428,1.135
mp-675232,CrHO2,2.05,5.67,TaS2,1.8,4.23,mp-1690,232.0,3.85,-2.65,"An interface between CrHO2 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.65,0.9745596399981308,0.9746
mp-34380,HoTaO4,1.52,5.67,Te2Pt,0.0,4.23,mp-399,69.0,1.52,-1.28,"An interface between HoTaO4 (Fermi level: 5.67 meV) and Te2Pt (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.28,0.2468600779315258,0.2469
mp-758672,Li15Mn2O12,2.05,5.67,WSe2,1.9,4.23,mp-1025572,354.0,3.95,1370.0,"An interface between Li15Mn2O12 (Fermi level: 5.67 meV) and WSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1370.0,7.222566018822171,7.223
mp-756032,V3O5F,2.05,5.67,TaS2,1.8,4.23,mp-16226,384.0,3.85,-0.397,"An interface between V3O5F (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.397,-0.9238189982949466,-0.9238
mp-3417,Ca(BO2)2,2.31,5.67,Te2Mo,2.1,4.23,mp-602,384.0,4.41,-3.14,"An interface between Ca(BO2)2 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.41 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.14,1.144222799920162,1.144
mp-1020012,Li2Ge4O9,2.11,5.67,ReSe2,1.9,4.23,mp-1102379,324.0,4.01,-4.19,"An interface between Li2Ge4O9 (Fermi level: 5.67 meV) and ReSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.01 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.19,1.4327007339340465,1.433
mp-850340,Fe4O3F5,2.0,5.67,MoS2,2.1,4.23,mp-1238797,273.0,4.1,-3.63,"An interface between Fe4O3F5 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.63,1.289232648276759,1.289
mp-2648,NbS2,2.2,5.67,Pb(ClO3)2,1.75,4.23,mp-28513,351.0,3.95,-2.02,"An interface between NbS2 (Fermi level: 5.67 meV) and Pb(ClO3)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.02,0.7030975114131134,0.7031
mp-1690,TaS2,1.8,5.67,UPdO3,1.63,4.23,mp-1187714,290.0,3.43,-0.264,"An interface between TaS2 (Fermi level: 5.67 meV) and UPdO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.43 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.264,-1.3318061758358208,-1.332
mp-1178659,YbI2O,1.52,5.67,NbSe2,2.2,4.23,mp-1102559,280.0,3.72,-1.93,"An interface between YbI2O (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.93,0.6575200029167941,0.6575
mp-1023939,MoS2,2.1,5.67,HoTaO4,1.52,4.23,mp-34380,360.0,3.62,-1.66,"An interface between MoS2 (Fermi level: 5.67 meV) and HoTaO4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.66,0.5068176023684519,0.5068
mp-555293,NbS2,2.2,5.67,MgIn2O4,1.73,4.23,mp-7831,324.0,3.93,-14.2,"An interface between NbS2 (Fermi level: 5.67 meV) and MgIn2O4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.93 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",14.2,2.653241964607215,2.653
mp-5040,CaTe2O5,2.31,5.67,HfSe2,1.9,4.23,mp-985831,182.0,4.21,-0.0531,"An interface between CaTe2O5 (Fermi level: 5.67 meV) and HfSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.21 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0531,-2.935578350734244,-2.936
mp-655353,Ru(CO)4,1.7,5.67,TiS2,2.0,4.23,mp-1077021,348.0,3.7,-6.36,"An interface between Ru(CO)4 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.7 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",6.36,1.8500283773520307,1.85
mp-3417,Ca(BO2)2,2.31,5.67,Ti3S2,2.0,4.23,mp-1217073,71.0,4.31,-4.11,"An interface between Ca(BO2)2 (Fermi level: 5.67 meV) and Ti3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.31 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.11,1.4134230285081433,1.413
mp-38819,Ho10Ti6O27,2.0,5.67,NbS2,2.2,4.23,mp-1802,447.0,4.2,-0.804,"An interface between Ho10Ti6O27 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.804,-0.2181560098031706,-0.2182
mp-1181039,HgNO4,1.55,5.67,MoS2,2.1,4.23,mp-1023924,483.0,3.65,-0.42,"An interface between HgNO4 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.65 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.42,-0.8675005677047231,-0.8675
mp-754808,La2MgO4,1.73,5.67,TiS2,2.0,4.23,mvc-7054,118.0,3.73,-835.0,"An interface between La2MgO4 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.73 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",835.0,6.727431724850855,6.727
mp-1068577,ZrPbO3,2.25,5.67,TaTe2,0.0,4.23,mp-1967,411.0,2.25,-4.86,"An interface between ZrPbO3 (Fermi level: 5.67 meV) and TaTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.86,1.5810384379124025,1.581
mp-16194,Rb2SiO3,3.03,5.67,TaSe2,1.9,4.23,mp-7834,252.0,4.93,-5.1,"An interface between Rb2SiO3 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.93 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",5.1,1.62924053973028,1.629
